,serial_number,case_name,case_number,judge_date,court_name,case_type,case_type_code,judge_type,judge
1620,109745,"부정수표단속법위반,위조유가증권행사,사기,절도,공기호부정사용,사문서위조,사문서위조행사,자동차관리법위반",93도2894,1994.01.11,대법원,형사,400102,판결,선고
1621,109747,"특정범죄가중처벌등에관한법률위반(관세,인정된죄명:관세법위반),사문서변조,변조사문서행사,특정경제범죄가중처벌등에관한법률위반(사기,인정된죄명:사기),사기,부정수표단속법위반",93도3155,1994.01.11,대법원,형사,400102,판결,선고
1622,109536,사기,93도213,1993.11.23,대법원,형사,400102,판결,선고
1623,123777,사기,93도1941,1993.09.28,대법원,형사,400102,판결,선고
1624,123781,"배임,사기",93도2206,1993.09.28,대법원,형사,400102,판결,선고
1625,123780,"살인,사기,절도,사문서위조,동행사",93도2143,1993.09.28,대법원,형사,400102,판결,선고
1626,189969,"공갈미수,사기미수",93도915,1993.09.14,대법원,형사,400102,판결,선고
1627,189953,"특정경제범죄가중처벌등에관한법률위반(사기, 인정된죄명:횡령)",93도1578,1993.08.24,대법원,형사,400102,판결,선고
1628,123506,특정경제범죄가중처벌등에관한법률위반(사기),93도1189,1993.08.13,대법원,형사,400102,판결,선고
1629,123499,"특정경제범죄가중처벌등에관한법률위반(사기),특정경제범죄가중처벌등에관한법률위반(재산국외도피),공문서위조,공문서위조및자격모용공문서작성,공문서위조행사,공도화변조,공도화변조행사,사기,사문서위조,사문서위조행사",93도1435,1993.07.27,대법원,형사,400102,판결,선고
1630,123498,"부정수표단속법위반,유가증권위조,유가증권위조행사,사기,업무상횡령",93도1408,1993.07.27,대법원,형사,400102,판결,선고
1631,189938,특정경제범죄가중처벌등에관한법률위반(사기),92도2832,1993.07.13,대법원,형사,400102,판결,선고
1632,189943,"특정경제범죄가중처벌등에관한법률위반(사기),부정수표단속법위반",93도1341,1993.07.13,대법원,형사,400102,판결,선고
1633,189939,사기,93도14,1993.07.13,대법원,형사,400102,판결,선고
1634,123323,"특정경제범죄가중처벌등에관한법률위반(업무상배임),공기호부정사용,부정수표단속법위반,특정경제범죄가중처벌등에관한법률위반(사기)",93도743,1993.06.22,대법원,형사,400102,판결,선고
1635,123241,"특정경제범죄가중처벌등에관한법률위반,사기",92도2622,1993.06.08,대법원,형사,400102,판결,선고
1636,123169,사기,93도836,1993.05.25,대법원,형사,400102,판결,선고
1637,123167,사기,93도705,1993.05.25,대법원,형사,400102,판결,선고
1638,227297,특정경제범죄가중처벌등에관한법률위반(사기),93노467,1993.04.29,서울고등법원,형사,400102,제5형사부판결 : 상고기각,선고
1639,123004,"무고,사기미수,사문서위조,사문서위조행사,사문서변조,사문서변조행사",93도481,1993.04.27,대법원,형사,400102,판결,선고
1640,228957,사기,91도3307,1993.01.15,대법원,형사,400102,판결,선고
1641,228965,특정경제범죄가중처벌등에관한법률위반(사기)·사문서위조·동행사·업무상횡령,92도2588,1993.01.15,대법원,형사,400102,판결,선고
1642,189826,사기,92도2218,1992.12.22,대법원,형사,400102,판결,선고
1643,228973,사기미수,92도743,1992.12.11,대법원,형사,400102,판결,선고
1644,124036,"특정경제범죄가중처벌등에관한법률위반(사기),사기,사문서위조,동행사,공문서위조,동행사",92도2226,1992.11.27,대법원,형사,400102,판결,선고
1645,188578,사기,92도804,1992.11.27,대법원,형사,400102,판결,선고
1646,124031,"상해,사기",92도2473,1992.11.24,대법원,형사,400102,판결,선고
1647,122900,"특정범죄가중처벌등에관한법률위반(사기),사기,업무상횡령,업무상배임",92도1983,1992.10.23,대법원,형사,400102,판결,선고
1648,189782,"특정경제범죄가중처벌등에관한법률위반,사기",91도3170,1992.10.13,대법원,형사,400102,판결,선고
1649,189722,상습사기,92도1751,1992.09.22,대법원,형사,400102,판결,선고
